dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
0.09,-4.31,12.5,-0.63,False
0.08,-2.67,5.31,0.62,False
8.68,-0.15,3.9,-1.14,False
0.08,-1.81,4.11,-0.86,False
5.51,-5.51,6.78,-2.04,False
6.9,-0.57,4.87,6.69,False
0.1,-1.35,1.61,2.72,False
0.09,-5.61,6.36,4.69,False
7.88,-2.05,3.71,-2.16,False
3.94,-1.97,4.36,-1.41,False
0.1,-3.2,12.41,4.34,False
17.5,-4.0,11.26,-4.55,False
0.1,-5.06,6.69,0.39,False
0.09,-3.2,11.68,3.48,False
4.44,-2.24,9.96,0.7,False
0.1,-3.06,8.52,-4.43,False
9.5,0.0,5.61,3.1,False
8.95,-0.62,1.65,1.78,False
4.34,-0.02,5.64,3.86,False
4.64,-2.03,8.61,-2.3,False
2.89,-4.0,4.3,-0.37,False
4.03,-2.09,6.28,-6.22,False
7.57,-3.62,11.71,-4.11,False
4.52,-2.0,4.41,-1.42,False
0.09,-5.61,6.36,4.69,False
0.09,-5.61,6.41,4.63,False
0.1,10.35,1.39,13.5,False
0.09,-5.66,6.45,4.59,False
8.65,-0.06,5.05,-0.95,False
4.43,-0.25,1.0,2.35,False
9.79,-0.07,5.49,-3.83,False
2.65,-1.98,7.32,-6.56,False
1.92,-5.29,7.11,4.48,False
4.65,1.45,3.49,-1.16,False
6.52,-1.69,8.29,-4.24,False
0.1,-4.25,5.1,3.13,False
0.89,-3.99,11.46,-1.36,False
2.4,-4.26,5.7,-3.24,False
11.22,-0.88,6.11,6.24,False
0.83,-3.97,11.94,-1.14,False
7.49,-2.48,9.05,-1.59,False
0.87,-0.31,5.23,3.54,False
0.09,-1.51,12.89,1.09,False
0.1,-3.32,3.32,0.56,False
8.34,-2.9,13.36,2.97,False
7.76,-3.42,12.53,1.75,False
0.87,-0.25,4.07,6.91,False
1.09,-2.52,10.3,0.34,False
0.75,-3.62,4.31,-0.26,False
2.08,-2.95,10.58,0.28,False
0.09,-3.5,3.78,-1.07,False
5.57,-3.96,8.43,-3.61,False
2.28,-2.12,10.94,-1.64,False
1.51,-1.93,4.44,-0.34,False
2.18,-1.51,7.88,-4.52,False
0.1,-3.06,8.82,-4.44,False
4.44,-1.91,4.43,-0.38,False
15.57,-4.28,8.48,-2.05,False
6.1,-1.88,4.36,-0.51,False
4.45,-3.13,8.59,-3.67,False
4.45,-2.29,4.65,-3.75,False
3.98,-1.64,8.11,-4.4,False
3.98,-1.64,8.11,-4.4,False
2.28,-2.12,10.97,-1.63,False
1.67,-1.8,5.61,-6.38,False
1.47,-2.05,6.0,-6.27,False
1.23,-5.48,6.27,4.73,False
