dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.12,-1.86,4.36,-0.5,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
5.47,-1.81,4.3,-0.64,True
1.75,-5.15,6.33,2.39,True
1.75,-5.15,6.33,2.39,True
2.65,-2.21,3.09,-5.51,True
1.75,-5.15,6.33,2.39,True
1.75,-5.15,6.33,2.39,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
2.89,-4.1,4.18,0.45,True
2.65,-2.21,3.09,-5.51,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
0.1,-0.1,2.04,4.59,True
6.4,-3.95,9.01,-4.92,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
2.82,-2.32,3.86,-4.98,True
2.65,-2.21,3.09,-5.51,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.08,-3.64,12.17,1.46,True
6.08,-3.64,12.17,1.46,True
6.08,-3.64,12.17,1.46,True
8.41,-2.97,17.65,2.96,True
8.41,-2.97,17.65,2.96,True
8.25,-2.97,17.65,2.96,True
8.25,-2.97,17.65,2.96,True
8.25,-2.97,17.65,2.96,True
8.58,-2.97,17.66,2.96,True
8.41,-2.97,17.65,2.96,True
8.08,-2.97,13.8,0.3,True
8.41,-2.97,17.65,2.96,True
8.41,-2.97,17.65,2.96,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
1.04,-5.34,7.21,3.86,True
2.82,-2.32,3.86,-4.98,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
2.65,-2.21,3.09,-5.51,True
0.08,-2.39,4.97,0.19,True
0.08,-2.39,4.97,0.19,True
0.08,-2.39,4.97,0.19,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
2.82,-2.32,3.86,-4.98,True
6.29,-2.77,4.02,-9.48,True
6.29,-2.77,4.02,-9.48,True
7.87,-2.8,11.49,-3.68,True
7.87,-2.8,11.49,-3.68,True
7.76,-1.74,6.72,-10.05,True
7.76,-1.74,6.72,-10.05,True
